,rexp_cat092,annual_use_value
4722,0.0,91245.25192779234
164,0.0,2079.549089579546
8599,0.0,1761.2062955884544
7062,0.0,1711.4707969575745
1884,0.0,1705.7298529629497
7991,0.0,1380.276182942117
7033,0.0,1358.8879946553404
3319,0.0,1289.5420497800274
2374,0.0,1253.5845587452782
7721,0.0,1232.513146510206
1429,0.0,1189.2422565365684
815,0.0,1134.9732116369298
6834,0.0,1121.63378868481
5650,0.0,1036.756050475107
193,0.0,957.1877663676107
4860,4585.446,938.093854895096
2718,0.0,938.0590261145422
8129,0.0,932.5444691935178
4595,0.0,901.2322898000443
4915,0.0,802.5711998956065
4724,0.0,789.6071538005667
7730,0.0,745.5879978828082
843,0.0,734.0834435443102
2469,0.0,679.7765292562917
4752,0.0,663.582436253592
4628,0.0,623.4445701560714
6055,0.0,607.4977799232307
1804,0.0,590.1311179752187
794,0.0,589.8066021945028
2749,0.0,589.7397088223277
1819,0.0,576.9490695130087
3251,0.0,562.5293093863022
2384,0.0,561.7108330432866
8067,0.0,548.1159990337723
611,0.0,543.6888740389284
1363,0.0,519.3048577867362
2135,0.0,513.3762253635718
5728,0.0,501.46091254965324
6631,0.0,495.81671516767847
4723,0.0,471.1560036033082
3495,0.0,457.45281338762595
9175,0.0,453.3159282307312
4087,0.0,442.31003357571836
6097,0.0,433.62605762429484
870,0.0,428.51009674738657
6114,0.0,422.24091624769574
4902,0.0,421.6565667072924
3510,7325.3013,413.3015292388773
5272,0.0,408.9600941009521
8041,0.0,402.19501810670897
1178,0.0,399.7125000261216
5416,0.0,393.10857624666323
2737,0.0,387.9384372666713
6866,0.0,387.791382415444
8247,0.0,381.22035248428654
4328,0.0,370.2851104983973
245,0.0,362.83849608087206
6402,0.0,362.02001973785684
4655,0.0,360.16828957174454
8422,0.0,359.16212480018925
9545,0.0,351.1421361271604
4612,0.0,348.05561366802084
4145,4273.38,345.87687995115294
4119,0.0,345.77626347399746
37,0.0,343.19893371301345
4428,0.0,337.2567567640781
8681,0.0,333.9693068662464
1079,0.0,332.23173770306045
7582,0.0,331.91247388131694
6716,0.0,331.8641005749922
812,0.0,327.54726671856923
6225,0.0,325.4923686658928
2790,0.0,325.28146105031675
4366,0.0,324.8480362256468
3935,0.0,324.5434226052474
205,11442.26,324.3101250593153
5049,0.0,323.59806999021464
3738,440.0869,322.9827615337635
2746,0.0,322.8511861405602
9547,0.0,322.5493367090935
6016,0.0,318.97358190556616
2096,0.0,317.2127935553444
9252,0.0,316.43882065414795
6705,0.0,316.0324848810198
1898,0.0,315.2908529903377
7205,0.0,310.1348113739033
4906,0.0,309.32600969215304
4686,0.0,308.40111207522335
4242,0.0,303.1419662115938
1835,0.0,302.029380166124
8713,0.0,300.6110748246815
2293,0.0,300.33631444475685
4891,0.0,299.446245608381
4128,0.0,298.00555033658253
6341,0.0,297.56355652622074
9533,0.0,296.83021720233717
9579,0.0,295.9802291054876
7759,0.0,294.2694416160341
1864,0.0,293.47532109454403
5649,9477.723,290.9015847791727
3230,0.0,289.26048580974305
3668,3630.104,288.5912756691015
476,0.0,286.8730558284455
7040,0.0,284.99451302968447
6277,0.0,284.41569186714685
5629,0.0,277.0154052561362
6139,0.0,276.7461732540772
9757,0.0,274.82268474326816
9471,0.0,268.5763364441626
4330,0.0,267.9881170392533
9038,0.0,265.62362982609835
7278,0.0,264.5323280354114
