HHID,Food consumption (annual) (real),Food consumption (annual) (nominal)
0004806a172546e99ae07674de291ed7,3946260.3503168714,404560.0
000a3b8cf97a44219f2ca739d99669c0,2151179.744705415,226200.0
000db14d4b284f7cb74f0bd5a03a3550,3129029.3214522246,317200.0
0017197b5e2c48908055bfde064b68b4,2155733.481856903,221000.0
001e5b26c5b547ff84b1d190ed2c4ba8,1338062.4955497799,135200.0
002b438e06564a0582c78fd7f61bdfef,1513276.773102804,145600.0
003398bb01f04447a386a61099b47b1e,1632424.9663653513,180440.0
0034c13e91014cb0b1daf791fdea88be,4396547.436729257,499200.0
0036892030f544dbb4b40c588b72f59a,1910623.3767736563,178880.0
0038af5bc5f64dcdaf9c5c2eca1abdc0,916394.8195992819,93600.0
003cc90a927c4247b0c40c406cfd8579,3994570.2840503007,430040.0
003dd83b52a04ea2ba825d3822a6c897,3486332.474653773,403000.0
003e5f39855846ea8361f43e37f851bc,3007606.875626868,328640.0
0041636687b345018ae4b46b59292211,363415.05680439743,36400.0
004371af0be14f8dbd7db9417472985f,11528555.947759643,1175200.0
0048aac98a2c40a9be924b94cdbe8f0b,370893.05943196814,39000.0
005061e197a949a599ddf701880f2f99,7223625.41878458,763360.0
005181de819a4526afe2bf14e2e3d7f2,2953945.8230514145,331240.0
005578fb551042d89938f618ffadd412,374576.2501970227,39000.0
0057020f3fa444f6bbe0fddff676da9b,4870768.837194998,462800.0
00614104b33549d396a082c46449461f,7804002.776779994,819000.0
0067e441f6de45f2ad59be6e18f3730d,1543918.2640958999,156000.0
007a1f8fd14e47cb98190b0bb33e5277,10522303.35955887,1045200.0
007acd424d13435fb5a3d836334b972d,3936181.826222001,455000.0
007d1550a6014f6b9f8f8aca1ca66ffc,2377112.4578717486,234000.0
007e60d0bf334854b312ccb2409eed7f,631836.7634174405,71240.0
00805178892540c2a41f22f59c87664d,6759436.61760991,689000.0
0082ee2b4e604e8ebeeeb495b1865d5f,7844813.235699794,891280.0
008b58dd0f1746afb1179a76706dae66,12438396.071358223,1323400.0
008cf8f470064bb2901827f91e0639b2,2807946.7347972547,274560.0
0092433dff9d49ada4355a51694fe237,197809.63169704966,20800.0
0093cedff2404e53a3d688a1ef378d99,959541.5236123931,101400.0
0093e34101584cb192242bd6fd3e0b63,16451051.331419982,1735760.0
009c0320df6b45319b68e3fea55999ca,734562.8568484021,74880.0
009fd63d7ca544fa86e07f95781eb567,12883677.750391843,1320800.0
00a351c5b12f481d898a25b00c1d8861,2935323.977306659,331500.0
00b24f81d4a5497fb45918ed23afdf2a,1290612.9452583077,130000.0
00b2a69ad4a8423fa28352cea11dd10e,7067799.694377601,798200.0
00c6ca1deb914beb8f1bd195be34ea9b,4482822.102087893,505960.0
00cca39544cc4dd097516806e8a3c009,771959.1320479499,78000.0
00d5119213d74bf087c28921790a2ae5,4898988.523839097,481000.0
00d91bf747164e848958d711bcca04fe,4233955.244175263,468000.0
